description,nof_floor,garage,garden,backdoor,nof_bathroom,nof_room,h_id
"5 Broome ave in Worcester, MA was built in 2013 with a total of 1876 sq ft. The current listing price for this property is 259000 with a per sq ft price of 138.06. The property has 2 floors, 6 bedrooms, 2 bathrooms, and 2 parking spaces. The property is located in the Sunderland Neigborhood Worcester, MA-. Directions: BLITHEWOOD TO BROOME AVE. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,6,133
"80 Valmor St in Worcester, MA was built in 1890 with a total of 740 sq ft. The current listing price for this property is 90300 with a per sq ft price of 122.03. The property has 2 floors, 6 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Mapquest or navigational device of choice.  Sunderland to Valmor. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,3,6,134
"19 Agate Ave in Worcester, MA was built in 1940 with a total of 1171 sq ft. The current listing price for this property is 119900 with a per sq ft price of 102.39. The property has 2 floors, 6 bedrooms, 3 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Lake Ave to Wigwam ~ left onto Coburn ~ left onto Agate. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,1,5,135
"16 Burghardt in Worcester, MA was built in 1870 with a total of 1434 sq ft. The current listing price for this property is 99000 with a per sq ft price of 69.04. The property has 2 floors, 5 bedrooms, 1 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Grafton Street to Burghardt, close to rt 20. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,1,6,136
"24 Montgomery Ave in Worcester, MA was built in 1962 with a total of 1296 sq ft. The current listing price for this property is 212500 with a per sq ft price of 163.97. The property has 2 floors, 6 bedrooms, 1 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Plantation (across from park) to Montgomery-. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,3,6,137
"186 Hamilton Street in Worcester, MA was built in 1945 with a total of 1458 sq ft. The current listing price for this property is 116000 with a per sq ft price of 79.56. The property has 2 floors, 6 bedrooms, 3 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Grafton St to Hamilton St. or Lake Ave to Hamilton Street. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,1,6,138
"96 Warner Ave in Worcester, MA was built in 1962 with a total of 1314 sq ft. The current listing price for this property is 192000 with a per sq ft price of 146.12. The property has 2 floors, 6 bedrooms, 1 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-North. Directions: see mapquest. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,6,139
"34 Nathaniel St in Worcester, MA was built in 1910 with a total of 1378 sq ft. The current listing price for this property is 119900 with a per sq ft price of 87.01. The property has 2 floors, 6 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Grafton St to Nathaniel. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,6,140
"5 Fairmont Ave in Worcester, MA was built in 1920 with a total of 1595 sq ft. The current listing price for this property is 222500 with a per sq ft price of 139.5. The property has 2 floors, 6 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Grafton St to Hamilton Left on Fairmont Ave Towards Plantation St. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,3,7,141
"31A Acton st in Worcester, MA was built in 2012 with a total of 1400 sq ft. The current listing price for this property is 179900 with a per sq ft price of 128.5. The property has 2 floors, 7 bedrooms, 3 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Grafton st to Acton st. House is close to conner of Acton and Houghton st.. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,3,6,142
"7 Bird St. in Worcester, MA was built in 1991 with a total of 1184 sq ft. The current listing price for this property is 199900 with a per sq ft price of 168.83. The property has 2 floors, 6 bedrooms, 3 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Hamilton St to Boston Ave to Bird St.. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,3,6,143
"14 Locust Ave. in Worcester, MA was built in 1945 with a total of 3200 sq ft. The current listing price for this property is 249000 with a per sq ft price of 77.81. The property has 2 floors, 6 bedrooms, 3 bathrooms, and 2 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Off Belmont across from UMass Med Right at  BP gas station. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,3,9,144
"7 Inverness ave in Worcester, MA was built in 1901 with a total of 900 sq ft. The current listing price for this property is 175000 with a per sq ft price of 194.44. The property has 2 floors, 9 bedrooms, 3 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: grafton st to inverness. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,1,5,145
"153 Farrar Ave in Worcester, MA was built in 1948 with a total of 1323 sq ft. The current listing price for this property is 179000 with a per sq ft price of 135.3. The property has 2 floors, 5 bedrooms, 1 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Grafton St to Farrar Avenue. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,1,6,146
"5 rosemary  street in Worcester, MA was built in 1962 with a total of 1116 sq ft. The current listing price for this property is 235000 with a per sq ft price of 210.57. The property has 2 floors, 6 bedrooms, 1 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: PLANTATION TO MONTGOMERY (ACROSS HOLMES FIELD). Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,5,147
"800 Grafton St in Worcester, MA was built in 1955 with a total of 1345 sq ft. The current listing price for this property is 189900 with a per sq ft price of 141.19. The property has 2 floors, 5 bedrooms, 2 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Grafton Street across from Bay State Bank. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,1,6,148
"108 Harrington Way in Worcester, MA was built in 1987 with a total of 1153 sq ft. The current listing price for this property is 85500 with a per sq ft price of 74.15. The property has 2 floors, 6 bedrooms, 1 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: USE GOOGLE MAPS. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,6,149
"7 Egan in Worcester, MA was built in 1920 with a total of 1668 sq ft. The current listing price for this property is 89865 with a per sq ft price of 53.88. The property has 2 floors, 6 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the East Worcester Neigborhood Worcester, MA-North. Directions: RT 122 (Grafton St) to Blithwood Ave, then left onto Egan. House will be on left. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,0,0,150
"128 Houghton St in Worcester, MA was built in 1924 with a total of 1875 sq ft. The current listing price for this property is 150000 with a per sq ft price of 80. The property has 2 floors, 0 bedrooms, 0 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Grafton St. to Houghton St.. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,7,151
"34 Standish St in Worcester, MA was built in 1947 with a total of 1768 sq ft. The current listing price for this property is 191925 with a per sq ft price of 108.55. The property has 2 floors, 7 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Grafton St or Hamilton St to Standish St. Please contact emily who at ghi@jkl.com if interested.",2,0x796573,0x796573,0x796573,2,6,152
"21 Tamar Ave in Worcester, MA was built in 1950 with a total of 1044 sq ft. The current listing price for this property is 150000 with a per sq ft price of 143.68. The property has 2 floors, 6 bedrooms, 2 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Rt. 122, left onto Blithewood, left onto Briarway, left onto Tamar. Please contact emily who at ghi@jkl.com if interested.",2,0x796573,0x796573,0x796573,1,5,153
"121 Delmont Ave in Worcester, MA was built in 1915 with a total of 1321 sq ft. The current listing price for this property is 162900 with a per sq ft price of 123.32. The property has 2 floors, 5 bedrooms, 1 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Hamilton to Delmont. Please contact emily who at ghi@jkl.com if interested.",2,0x796573,0x796573,0x796573,2,6,154
"63 Warner Avenue in Worcester, MA was built in 1920 with a total of 1100 sq ft. The current listing price for this property is 160000 with a per sq ft price of 145.45. The property has 2 floors, 6 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Off Hamilton Street.. Please contact emily who at ghi@jkl.com if interested.",2,0x796573,0x796573,0x796573,1,6,155
"21 Chilmark St in Worcester, MA was built in 1900 with a total of 1771 sq ft. The current listing price for this property is 119900 with a per sq ft price of 67.7. The property has 2 floors, 6 bedrooms, 1 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Shrewsbury>Adams>Chilmark. Please contact emily who at ghi@jkl.com if interested.",2,0x796573,0x796573,0x796573,1,6,156
"60 Park Terrace Rd in Worcester, MA was built in 1909 with a total of 1638 sq ft. The current listing price for this property is 175000 with a per sq ft price of 106.84. The property has 2 floors, 6 bedrooms, 1 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Massasoit to Heywood to Park Terrace Rd. Please contact emily who at ghi@jkl.com if interested.",2,0x796573,0x796573,0x796573,2,8,157
"47 Harold St. in Worcester, MA was built in 1910 with a total of 1513 sq ft. The current listing price for this property is 155000 with a per sq ft price of 102.45. The property has 2 floors, 8 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Hamilton St. to Harold St.. Please contact emily who at ghi@jkl.com if interested.",2,0x796573,0x796573,0x796573,2,7,158
"15 Saybrook Rd in Worcester, MA was built in 1930 with a total of 1008 sq ft. The current listing price for this property is 129900 with a per sq ft price of 128.87. The property has 2 floors, 7 bedrooms, 2 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Off Grafton Street near Route 20. Please contact emily who at ghi@jkl.com if interested.",2,0x796573,0x796573,0x796573,1,5,159
"11 Pine Crest Dr in Worcester, MA was built in 1955 with a total of 1756 sq ft. The current listing price for this property is 229900 with a per sq ft price of 130.92. The property has 2 floors, 5 bedrooms, 1 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Rte.20>Westboro St>Pine Crest. Please contact emily who at ghi@jkl.com if interested.",2,0x796573,0x796573,0x796573,2,7,160
"16 Pineland Ave in Worcester, MA was built in 1929 with a total of 702 sq ft. The current listing price for this property is 90000 with a per sq ft price of 128.21. The property has 2 floors, 7 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Hartford Turnpike (Route 20) to Pineland (on Worc/Shrews Line). Please contact emily who at ghi@jkl.com if interested.",2,0x796573,0x796573,0x796573,1,4,161
"497 Sunderland Rd in Worcester, MA was built in 2001 with a total of 1484 sq ft. The current listing price for this property is 180000 with a per sq ft price of 121.29. The property has 2 floors, 4 bedrooms, 1 bathrooms, and 2 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Rt 20 or Lake Ave or Grafton St to Sunderland RD. Please contact emily who at ghi@jkl.com if interested.",2,0x796573,0x796573,0x796573,2,7,162
"29-A Alameda Rd in Worcester, MA was built in 1900 with a total of 715 sq ft. The current listing price for this property is 119000 with a per sq ft price of 166.43. The property has 2 floors, 7 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: grafton to Massassoit. Please contact emily who at ghi@jkl.com if interested.",2,0x796573,0x796573,0x796573,1,3,163
"9 Pocasset in Worcester, MA was built in 2009 with a total of 2320 sq ft. The current listing price for this property is 239000 with a per sq ft price of 103.02. The property has 2 floors, 3 bedrooms, 1 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Grafton Street to Pine Hill to Pocasset. Please contact emily who at ghi@jkl.com if interested.",2,0x796573,0x796573,0x796573,3,7,164
"11 Pocasset in Worcester, MA was built in 2013 with a total of 2320 sq ft. The current listing price for this property is 239000 with a per sq ft price of 103.02. The property has 2 floors, 7 bedrooms, 3 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Grafton Street to Pine Hill to Pocasset. Please contact emily who at ghi@jkl.com if interested.",2,0x796573,0x796573,0x796573,3,7,165
"150 Norfolk St in Worcester, MA was built in 1910 with a total of 1549 sq ft. The current listing price for this property is 72400 with a per sq ft price of 46.74. The property has 2 floors, 7 bedrooms, 3 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Wall to Norfolk.. Please contact emily who at ghi@jkl.com if interested.",2,0x796573,0x796573,0x796573,1,7,166
"312 Coburn Avenue in Worcester, MA was built in 1930 with a total of 1573 sq ft. The current listing price for this property is 185000 with a per sq ft price of 117.61. The property has 2 floors, 7 bedrooms, 1 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Take Hamilton Street to Coburn Ave.. Please contact emily who at ghi@jkl.com if interested.",2,0x796573,0x796573,0x796573,2,6,167
"97 Locust Ave in Worcester, MA was built in 1900 with a total of 1423 sq ft. The current listing price for this property is 197300 with a per sq ft price of 138.65. The property has 2 floors, 6 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Rt. 9 to Alvarado Ave to Coburn Ave to Anna St to Locust Ave. Please contact emily who at ghi@jkl.com if interested.",2,0x796573,0x796573,0x796573,2,8,168
"3 Hecla in Worcester, MA was built in 1900 with a total of 1200 sq ft. The current listing price for this property is 108000 with a per sq ft price of 90. The property has 2 floors, 8 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Shrewsbury st heading east  right after the Coca Cola building. Please contact emily who at ghi@jkl.com if interested.",2,0x796573,0x796573,0x796573,1,7,169
"48 Fenwood Road in Worcester, MA was built in 2004 with a total of 1554 sq ft. The current listing price for this property is 234900 with a per sq ft price of 151.16. The property has 2 floors, 7 bedrooms, 1 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Grafton to Massasoit. Please contact emily who at ghi@jkl.com if interested.",2,0x796573,0x796573,0x796573,2,6,170
"66 Park Terrace Rd in Worcester, MA was built in 1960 with a total of 950 sq ft. The current listing price for this property is 120000 with a per sq ft price of 126.32. The property has 2 floors, 6 bedrooms, 2 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Massasoit Road to Heywood to Park Terrace Road. Please contact emily who at ghi@jkl.com if interested.",2,0x796573,0x796573,0x796573,2,4,171
"88 WARNER AVE in Worcester, MA was built in 2012 with a total of 1758 sq ft. The current listing price for this property is 244900 with a per sq ft price of 139.31. The property has 2 floors, 4 bedrooms, 2 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: SEE MAPQUEST. Please contact emily who at ghi@jkl.com if interested.",2,0x796573,0x796573,0x796573,3,6,172
"90 WARNER AVE in Worcester, MA was built in 2012 with a total of 1758 sq ft. The current listing price for this property is 225900 with a per sq ft price of 128.5. The property has 2 floors, 6 bedrooms, 3 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: SEE MAPQUEST. Please contact emily who at ghi@jkl.com if interested.",2,0x796573,0x796573,0x796573,3,6,173
"92 WARNER AVE in Worcester, MA was built in 2012 with a total of 1758 sq ft. The current listing price for this property is 244900 with a per sq ft price of 139.31. The property has 2 floors, 6 bedrooms, 3 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: SEE MAPQUEST. Please contact emily who at ghi@jkl.com if interested.",2,0x796573,0x796573,0x796573,3,6,174
"229 Fairmont Ave in Worcester, MA was built in 1920 with a total of 1732 sq ft. The current listing price for this property is 194900 with a per sq ft price of 112.53. The property has 2 floors, 6 bedrooms, 3 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Grafton Street to Fairmont Ave. Please contact emily who at ghi@jkl.com if interested.",2,0x796573,0x796573,0x796573,2,8,175
"65 Commonwealth Avenue in Worcester, MA was built in 1965 with a total of 1542 sq ft. The current listing price for this property is 224900 with a per sq ft price of 145.85. The property has 2 floors, 8 bedrooms, 2 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Hamilton to 65 Commonwealth (on left). Please contact emily who at ghi@jkl.com if interested.",2,0x796573,0x796573,0x796573,2,6,176
"43 Ernest Ave in Worcester, MA was built in 1963 with a total of 1162 sq ft. The current listing price for this property is 159900 with a per sq ft price of 137.61. The property has 2 floors, 6 bedrooms, 2 bathrooms, and 1 parking spaces. The property is located in the East Worcester Neigborhood Worcester, MA-North High. Directions: Hamilton to Ernest Ave. Please contact emily who at ghi@jkl.com if interested.",2,0x796573,0x796573,0x796573,1,4,177
"91 Standish St in Worcester, MA was built in 1919 with a total of 2126 sq ft. The current listing price for this property is 234900 with a per sq ft price of 110.49. The property has 2 floors, 4 bedrooms, 1 bathrooms, and 4 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Google maps. Please contact emily who at ghi@jkl.com if interested.",2,0x796573,0x796573,0x796573,2,8,178
"497 Massasoit rd in Worcester, MA was built in 1947 with a total of 1209 sq ft. The current listing price for this property is 164900 with a per sq ft price of 136.39. The property has 2 floors, 8 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Route 20 to Massasoit rd. Please contact emily who at ghi@jkl.com if interested.",2,0x796573,0x796573,0x796573,2,6,179
"6 Ivy St in Worcester, MA was built in 1980 with a total of 2204 sq ft. The current listing price for this property is 174900 with a per sq ft price of 79.36. The property has 2 floors, 6 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-North. Directions: MASSASOIT ROAD TO IVY. Please contact emily who at ghi@jkl.com if interested.",2,0x796573,0x796573,0x796573,2,6,180
"79 Locust Ave in Worcester, MA was built in 1898 with a total of 1540 sq ft. The current listing price for this property is 225000 with a per sq ft price of 146.1. The property has 2 floors, 6 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the South Worcester Neigborhood Worcester, MA-. Directions: Route 9 to Alvarado Ave to Coburn Ave to Anna Street, to Locust Ave.. Please contact emily who at ghi@jkl.com if interested.",2,0x796573,0x796573,0x796573,1,7,181
"207 Hamilton Street in Worcester, MA was built in 1918 with a total of 1302 sq ft. The current listing price for this property is 189900 with a per sq ft price of 145.85. The property has 2 floors, 7 bedrooms, 1 bathrooms, and 2 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Off Grafton St. Please contact emily who at ghi@jkl.com if interested.",2,0x796573,0x796573,0x796573,2,7,182
"11 Sonoma Dr in Worcester, MA was built in 1900 with a total of 968 sq ft. The current listing price for this property is 145000 with a per sq ft price of 149.79. The property has 2 floors, 7 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Rt 9-Lake Ave. Please contact emily who at ghi@jkl.com if interested.",2,0x796573,0x796573,0x796573,1,4,183
"4 Bullard Ave in Worcester, MA was built in 1930 with a total of 1200 sq ft. The current listing price for this property is 109000 with a per sq ft price of 90.83. The property has 2 floors, 4 bedrooms, 1 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: PASSADINA TO WAYSIDE TO BULLARD. Please contact emily who at ghi@jkl.com if interested.",2,0x796573,0x796573,0x796573,1,4,184
"42 Duxbury Road in Worcester, MA was built in 1900 with a total of 1952 sq ft. The current listing price for this property is 143900 with a per sq ft price of 73.72. The property has 2 floors, 4 bedrooms, 1 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Lincoln St to Duxbury Rd or Uxbridge St to Duxbury. Please contact emily who at ghi@jkl.com if interested.",2,0x796573,0x796573,0x796573,2,8,185
"45 Marsh Ave in Worcester, MA was built in 1950 with a total of 1802 sq ft. The current listing price for this property is 135000 with a per sq ft price of 74.92. The property has 2 floors, 8 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Lincoln St to Marsh. Please contact emily who at ghi@jkl.com if interested.",2,0x796573,0x796573,0x796573,2,7,186
"20 Humes Ave in Worcester, MA was built in 1910 with a total of 1600 sq ft. The current listing price for this property is 116000 with a per sq ft price of 72.5. The property has 2 floors, 7 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Lincoln st. to Pasadena to Humes. Please contact emily who at ghi@jkl.com if interested.",2,0x796573,0x796573,0x796573,2,7,187
"12 Russell Calvin Dr in Worcester, MA was built in 2000 with a total of 1870 sq ft. The current listing price for this property is 259900 with a per sq ft price of 138.98. The property has 2 floors, 7 bedrooms, 2 bathrooms, and 2 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Chester to Russell Calvin. Please contact emily who at ghi@jkl.com if interested.",2,0x796573,0x796573,0x796573,3,8,188
"27 Wakefield St in Worcester, MA was built in 1930 with a total of 1340 sq ft. The current listing price for this property is 110000 with a per sq ft price of 82.09. The property has 2 floors, 8 bedrooms, 3 bathrooms, and 0 parking spaces. The property is located in the Green Hill  Neigborhood Worcester, MA-Burncoat H.S.. Directions: Lincoln St. to Wakefield St. House is at the top of the hill on the left.. Please contact emily who at ghi@jkl.com if interested.",2,0x796573,0x796573,0x796573,1,6,189
"26 Oakview St in Worcester, MA was built in 1952 with a total of 868 sq ft. The current listing price for this property is 139900 with a per sq ft price of 161.18. The property has 2 floors, 6 bedrooms, 1 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: google map. Please contact emily who at ghi@jkl.com if interested.",2,0x796573,0x796573,0x796573,1,5,190
"25 Wauwinet Road in Worcester, MA was built in 1920 with a total of 796 sq ft. The current listing price for this property is 73000 with a per sq ft price of 91.71. The property has 2 floors, 5 bedrooms, 1 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-Burncoat. Directions: From MA-9 W, Turn right onto Plantation St, Turn right onto Wigwam Hill Dr. Please contact emily who at ghi@jkl.com if interested.",2,0x796573,0x796573,0x796573,1,6,191
"37 Duxbury Rd in Worcester, MA was built in 1890 with a total of 1526 sq ft. The current listing price for this property is 114999 with a per sq ft price of 75.36. The property has 2 floors, 6 bedrooms, 1 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Lincoln St to Duxbury Rd. Please contact emily who at ghi@jkl.com if interested.",2,0x796573,0x796573,0x796573,2,6,192
"7 Oakview Street in Worcester, MA was built in 1951 with a total of 902 sq ft. The current listing price for this property is 89900 with a per sq ft price of 99.67. The property has 2 floors, 6 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Plantation to Oakhurst, right on Oakview. Minutes to UMASS Medical and I-290, near Shrewsbury. Please contact emily who at ghi@jkl.com if interested.",2,0x796573,0x796573,0x796573,1,5,193
"87 PASADENA PKWY in Worcester, MA was built in 1923 with a total of 1033 sq ft. The current listing price for this property is 149000 with a per sq ft price of 144.24. The property has 2 floors, 5 bedrooms, 1 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: CHINO AVE TO PASADENA .. Please contact emily who at ghi@jkl.com if interested.",2,0x796573,0x796573,0x796573,1,6,194
"2 Edgeworth St., in Worcester, MA was built in 1993 with a total of 1364 sq ft. The current listing price for this property is 128900 with a per sq ft price of 94.5. The property has 2 floors, 6 bedrooms, 1 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Millbrook to Bryon St to Egdeworth. Please contact emily who at ghi@jkl.com if interested.",2,0x796573,0x796573,0x796573,2,6,195
"74 Venus Dr in Worcester, MA was built in 1973 with a total of 1026 sq ft. The current listing price for this property is 170000 with a per sq ft price of 165.69. The property has 2 floors, 6 bedrooms, 2 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Worcester, MA-Doherty. Directions: Salisbury to Forest Street, to Grove St, to Venus. Please contact emily who at ghi@jkl.com if interested.",2,0x796573,0x796573,0x796573,2,7,196
"7 Chequeset Rd in Worcester, MA was built in 2002 with a total of 1984 sq ft. The current listing price for this property is 254900 with a per sq ft price of 128.48. The property has 2 floors, 7 bedrooms, 2 bathrooms, and 2 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Plantation to Belcourt to Pocono. Please contact emily who at ghi@jkl.com if interested.",2,0x796573,0x796573,0x796573,4,7,197
"35 Marsh Ave in Worcester, MA was built in 1953 with a total of 1482 sq ft. The current listing price for this property is 149900 with a per sq ft price of 101.15. The property has 2 floors, 7 bedrooms, 4 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Lincoln to Marsh St. Please contact emily who at ghi@jkl.com if interested.",2,0x796573,0x796573,0x796573,1,6,198
"43 Orne St in Worcester, MA was built in 1900 with a total of 2324 sq ft. The current listing price for this property is 100000 with a per sq ft price of 43.03. The property has 2 floors, 6 bedrooms, 1 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Off Lincoln Street / Near Green Hill Park. Please contact emily who at ghi@jkl.com if interested.",2,0x796573,0x796573,0x796573,2,11,199
"50 Knapp in Worcester, MA was built in 1948 with a total of 1248 sq ft. The current listing price for this property is 149900 with a per sq ft price of 120.11. The property has 2 floors, 11 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the Assumption College Neigborhood Worcester, MA-. Directions: SALISBURY>BARRY>PRIVATE ROAD> 3RD RIGHT ON TO KNAPP. Please contact emily who at ghi@jkl.com if interested.",2,0x796573,0x796573,0x796573,1,6,200
"21 Belcourt Road in Worcester, MA was built in 2002 with a total of 2556 sq ft. The current listing price for this property is 239900 with a per sq ft price of 93.86. The property has 2 floors, 6 bedrooms, 1 bathrooms, and 2 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Plantation Street or Lake Ave to Belcourt, minutes to UMASS Medical and I-290. Please contact emily who at ghi@jkl.com if interested.",2,0x796573,0x796573,0x796573,3,7,201
"31 Shattuck St in Worcester, MA was built in 1880 with a total of 2093 sq ft. The current listing price for this property is 99900 with a per sq ft price of 47.73. The property has 2 floors, 7 bedrooms, 3 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: LINCOLN STREET TO SHATTUCK ON LEFT. Please contact emily who at ghi@jkl.com if interested.",2,0x796573,0x796573,0x796573,3,7,202
"853 Grove Street Terrace in Worcester, MA was built in 1962 with a total of 1056 sq ft. The current listing price for this property is 169500 with a per sq ft price of 160.51. The property has 2 floors, 7 bedrooms, 3 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Worcester, MA-Doherty. Directions: Grove St. toward Holden.  Home is on Grove St. Terrace, between Leslie and Venus.. Please contact emily who at ghi@jkl.com if interested.",2,0x796573,0x796573,0x796573,2,7,203
"24 Wayside Rd in Worcester, MA was built in 1923 with a total of 2143 sq ft. The current listing price for this property is 145000 with a per sq ft price of 67.66. The property has 2 floors, 7 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: off Passadena Rd. Please contact emily who at ghi@jkl.com if interested.",2,0x796573,0x796573,0x796573,1,8,204
